Documentos,Aceitação,Justificativa
14_CFR_Part_23__up_to_date_as_of_8_09_2023_,Rejeitado,Nenhum conteúdo relevante
14_CFR_Part_29_Amdt_59_DATED_2023_04_11__Airworthiness_Standards__Transport_Category_Rotorcraft,Rejeitado,Nenhum conteúdo relevante
14_CFR_Part_33__up_to_date_as_of_8_09_2023_,Rejeitado,Nenhum conteúdo relevante
_CEF RBAC 61,Rejeitado,Nenhum conteúdo relevante
ALERTAn001_2023InfraestruturaparapousoedecolagemdeaeronaveseVTOL,Aceito,"O documento estabelece parâmetros dimensionais obrigatórios e requisitos de segurança para infraestrutura UAM/vertiportos, que devem ser observados no planejamento territorial urbano para implantação desta infraestrutura."
"Anatel - Ato nº 915, de 01 de fevereiro de 2024",Aceito,"O documento estabelece restrições de altura máxima (6m) para estações base e distâncias mínimas obrigatórias (1-10 km) entre estações, que impactam diretamente o planejamento de infraestrutura de telecomunicações essenciais para operações UAM."
Anatel_915,Aceito,Documento aceito para composição da base de identificação.
CEF RBAC 103,Aceito,"O documento estabelece restrições operacionais sobre áreas densamente povoadas que são obrigatórias para o planejamento de localização de vertiportos, impactando diretamente as decisões de uso do solo urbano para infraestrutura UAM."
CEF RBAC 107,Aceito,"O documento estabelece requisitos obrigatórios de zoneamento de segurança, demarcação de áreas restritas e parâmetros para infraestrutura aeroportuária que constituem limitações administrativas ao uso do solo, diretamente aplicáveis ao planejamento territorial de infraestruturas UAM como vertiportos."
CEF RBAC 108,Rejeitado,Nenhum conteúdo relevante
CEF RBAC 110,Rejeitado,Nenhum conteúdo relevante
CEF RBAC 117,Rejeitado,Nenhum conteúdo relevante
CEF RBAC 119,Rejeitado,"O documento trata de certificação e operação de serviços de transporte aéreo, requisitos administrativos para COA e qualificação de pessoal, sem estabelecer normas de uso do solo, zoneamento ou parâmetros edificatórios aplicáveis ao planejamento territorial urbano."
CEF RBAC 121,Rejeitado,"O documento trata predominantemente de normas operacionais e treinamento de tripulantes, sem estabelecer diretrizes sobre infraestrutura UAM, uso do solo, zoneamento ou parâmetros edificatórios aplicáveis ao planejamento territorial urbano."
CEF RBAC 129,Rejeitado,Nenhum conteúdo relevante
CEF RBAC 133,Aceito,"Estabelece limitações operacionais obrigatórias para voos sobre áreas congestionadas que impactam diretamente o planejamento territorial, definindo restrições de uso do espaço aéreo urbano e parâmetros de segurança para operações próximas a áreas densamente povoadas."
CEF RBAC 137,Rejeitado,"O documento regula exclusivamente operações aeroagrícolas, sem menção a vertiportos, UAM ou parâmetros de planejamento territorial urbano. As restrições operacionais citadas referem-se a áreas povoadas no contexto agrícola, não estabelecendo limitações administrativas ao uso do solo aplicáveis ao ecossistema UAM."
CEF RBAC 141,Rejeitado,Nenhum conteúdo relevante
CEF RBAC 142 EMD 02,Rejeitado,Nenhum conteúdo relevante
CEF RBAC 145,Rejeitado,"O documento regula exclusivamente requisitos técnicos e operacionais para organizações de manutenção aeronáutica, sem estabelecer normas de uso do solo, zoneamento ou parâmetros edificatórios aplicáveis ao planejamento territorial urbano para infraestrutura UAM."
CEF RBAC 153,Aceito,"O documento estabelece requisitos obrigatórios para infraestrutura aeroportuária, segurança operacional e gestão de aeródromos que são diretamente aplicáveis ao planejamento de vertiportos e infraestrutura UAM, incluindo critérios de localização, zoneamento de segurança e padrões construtivos."
CEF RBAC 43.17-I EASA,Rejeitado,Nenhum conteúdo relevante
CEF RBAC 45,Rejeitado,Nenhum conteúdo relevante
CEF RBAC 63,Rejeitado,Nenhum conteúdo relevante
CEF RBAC nº 161,Aceito,Documento aceito para composição da base de identificação.
CEF RBAC-E 94,Aceito,"A Parte 2 estabelece regras operacionais para aeronaves não tripuladas com restrições específicas para áreas de pouso/decolagem (E94.111), impactando diretamente a localização e planejamento de vertiportos na infraestrutura UAM."
CEF RBAC67,Rejeitado,Nenhum conteúdo relevante
CONAMA_RES_CONS_1997_237,Aceito,"Estabelece procedimentos obrigatórios de licenciamento ambiental para infraestruturas de transporte, incluindo explicitamente ""aeroportos"" no Anexo I, aplicável a vertiportos considerados como aeródromos."
D10016,Rejeitado,Nenhum conteúdo relevante
D10022,Rejeitado,Nenhum conteúdo relevante
D10080,Rejeitado,Nenhum conteúdo relevante
D10081,Rejeitado,Nenhum conteúdo relevante
D10084,Rejeitado,Nenhum conteúdo relevante
D10095,Rejeitado,Nenhum conteúdo relevante
D10111,Rejeitado,Nenhum conteúdo relevante
D10160,Rejeitado,Nenhum conteúdo relevante
D10165,Rejeitado,Nenhum conteúdo relevante
D10167,Rejeitado,Nenhum conteúdo relevante
D10188,Rejeitado,Nenhum conteúdo relevante
D10191,Rejeitado,Nenhum conteúdo relevante
D10265,Rejeitado,Nenhum conteúdo relevante
D10304,Rejeitado,Nenhum conteúdo relevante
D10321,Rejeitado,Nenhum conteúdo relevante
D10334,Rejeitado,Nenhum conteúdo relevante
D10336,Rejeitado,Nenhum conteúdo relevante
D10367,Rejeitado,Nenhum conteúdo relevante
D10389,Rejeitado,Nenhum conteúdo relevante
D10411,Rejeitado,Nenhum conteúdo relevante
D10421,Rejeitado,Nenhum conteúdo relevante
D10431,Rejeitado,Nenhum conteúdo relevante
D10432,Rejeitado,Nenhum conteúdo relevante
D10433,Rejeitado,Nenhum conteúdo relevante
D10434,Rejeitado,Nenhum conteúdo relevante
D10439,Rejeitado,Nenhum conteúdo relevante
D10484,Rejeitado,Nenhum conteúdo relevante
D10525,Rejeitado,Nenhum conteúdo relevante
D10539,Rejeitado,Nenhum conteúdo relevante
D10585,Rejeitado,Nenhum conteúdo relevante
D10613,Rejeitado,Nenhum conteúdo relevante
D10643,Rejeitado,Nenhum conteúdo relevante
D10645,Rejeitado,Nenhum conteúdo relevante
D10713,Rejeitado,Nenhum conteúdo relevante
D10771,Rejeitado,Nenhum conteúdo relevante
D10790,Rejeitado,Nenhum conteúdo relevante
D10792,Rejeitado,Nenhum conteúdo relevante
D10795,Rejeitado,Nenhum conteúdo relevante
D10803,Rejeitado,Nenhum conteúdo relevante
D10815,Rejeitado,Nenhum conteúdo relevante
D10853,Rejeitado,Nenhum conteúdo relevante
D10854,Aceito,Documento aceito para composição da base de identificação.
D10863,Rejeitado,Nenhum conteúdo relevante
D10865,Rejeitado,Nenhum conteúdo relevante
D10866,Rejeitado,Nenhum conteúdo relevante
D10886,Rejeitado,Nenhum conteúdo relevante
D10887,Rejeitado,Nenhum conteúdo relevante
D10888,Rejeitado,Nenhum conteúdo relevante
D10906,Rejeitado,Nenhum conteúdo relevante
D10935,Aceito,"O documento estabelece proteção ambiental obrigatória para cavidades naturais subterrâneas e exige licenciamento ambiental, criando limitações administrativas ao uso do solo que afetam diretamente o planejamento territorial de infraestruturas UAM de grande porte."
D10936,Aceito,"Duas partes estabelecem obrigações ambientais aplicáveis a grandes infraestruturas urbanas, incluindo gestão de resíduos sólidos e perigosos com exigências de licenciamento ambiental, que são requisitos obrigatórios para implantação de infraestrutura UAM."
D10959,Rejeitado,Nenhum conteúdo relevante
D10984,Rejeitado,Nenhum conteúdo relevante
D10991,Rejeitado,Nenhum conteúdo relevante
D11015,Rejeitado,Nenhum conteúdo relevante
D11016,Rejeitado,Nenhum conteúdo relevante
D11028,Rejeitado,Nenhum conteúdo relevante
D11034,Rejeitado,Nenhum conteúdo relevante
D11045,Rejeitado,Nenhum conteúdo relevante
D1141,Aceito,"O documento estabelece proteção ambiental em terras indígenas e entorno com controle de atividades modificadoras do meio ambiente, criando limitações administrativas obrigatórias para implantação de infraestrutura urbana de grande porte, incluindo possíveis vertiportos UAM."
D11422,Rejeitado,Nenhum conteúdo relevante
D11436,Rejeitado,Nenhum conteúdo relevante
D11480,Rejeitado,Nenhum conteúdo relevante
D11512,Rejeitado,Nenhum conteúdo relevante
D11767,Rejeitado,Nenhum conteúdo relevante
D11793,Rejeitado,Nenhum conteúdo relevante
D11820,Rejeitado,Nenhum conteúdo relevante
D11842,Rejeitado,Nenhum conteúdo relevante
D11925,Rejeitado,Nenhum conteúdo relevante
D11956,Rejeitado,Nenhum conteúdo relevante
D12044,Rejeitado,Nenhum conteúdo relevante
D12066,Rejeitado,Nenhum conteúdo relevante
D12069,Rejeitado,Nenhum conteúdo relevante
D12363,Rejeitado,Nenhum conteúdo relevante
D12409,Rejeitado,Nenhum conteúdo relevante
D12443,Rejeitado,Nenhum conteúdo relevante
D12483,Aceito,"Documento estabelece áreas protegidas com restrições específicas de uso do solo e delimitações territoriais que impactam obrigatoriamente o planejamento de infraestrutura UAM, incluindo restrições aeronáuticas aplicáveis."
D12484,Rejeitado,Nenhum conteúdo relevante
D12486,Aceito,"Estabelece regras de proteção ambiental e ordenamento territorial obrigatórias para zonas costeiras, aplicáveis ao planejamento de infraestrutura urbana de grande porte como vertiportos UAM."
D12490,Aceito,"Estabelece restrições ambientais e de uso do solo que afetam diretamente o planejamento territorial para infraestruturas urbanas de grande porte, incluindo possíveis instalações UAM, por imposição legal de compatibilização."
D12506,Rejeitado,Nenhum conteúdo relevante
D12539,Rejeitado,Nenhum conteúdo relevante
D12602,Aceito,"Estabelece limitações administrativas ao uso do solo em área de conservação ambiental, o que é obrigatório para planejamento de infraestrutura UAM, incluindo restrições de zoneamento e parâmetros edificatórios."
D12644,Rejeitado,Nenhum conteúdo relevante
D12652,Rejeitado,"O documento trata do Plano Nacional de Proteção e Defesa Civil sem menção específica à infraestrutura UAM ou parâmetros territoriais aplicáveis, sendo apenas tangencialmente relacionado ao planejamento urbano para UAM."
D12657,Rejeitado,Nenhum conteúdo relevante
D13087,Rejeitado,Nenhum conteúdo relevante
D13456,Rejeitado,Nenhum conteúdo relevante
D13636,Rejeitado,Nenhum conteúdo relevante
D13728,Rejeitado,Nenhum conteúdo relevante
D1412,Rejeitado,Nenhum conteúdo relevante
D1479,Rejeitado,Nenhum conteúdo relevante
D15432,Rejeitado,Nenhum conteúdo relevante
D1676,Rejeitado,Nenhum conteúdo relevante
D17510,Rejeitado,Nenhum conteúdo relevante
D1876,Aceito,"Estabelece restrições ambientais obrigatórias que impactam diretamente o planejamento e implantação de infraestrutura urbana de grande porte, incluindo vertiportos e operações UAM, por definir limites de Área de Proteção Ambiental com força legal federal."
D1934,Rejeitado,Nenhum conteúdo relevante
D20462,Rejeitado,Nenhum conteúdo relevante
D20974,Rejeitado,Nenhum conteúdo relevante
D22287,Rejeitado,Nenhum conteúdo relevante
D230,Rejeitado,Nenhum conteúdo relevante
D23161,Rejeitado,Nenhum conteúdo relevante
D237,Rejeitado,Nenhum conteúdo relevante
D2794,Rejeitado,Nenhum conteúdo relevante
D3588,Rejeitado,Nenhum conteúdo relevante
D3799,Rejeitado,Nenhum conteúdo relevante
D4055,Rejeitado,Nenhum conteúdo relevante
D41097,Rejeitado,Nenhum conteúdo relevante
D42015,Rejeitado,Nenhum conteúdo relevante
D42020,Rejeitado,Nenhum conteúdo relevante
D4297,Aceito,"O documento estabelece critérios obrigatórios de Zoneamento Ecológico-Econômico que impõem limitações administrativas ao uso do solo e parâmetros ambientais para planejamento e implantação de infraestrutura urbana, aplicáveis à UAM."
D4322,Rejeitado,Nenhum conteúdo relevante
D45058,Aceito,"O decreto estabelece diretrizes de uso do solo e ordenamento territorial para área portuária, criando limitações administrativas obrigatórias que afetam o planejamento de infraestruturas urbanas de grande porte como vertiportos."
D45445,Rejeitado,Nenhum conteúdo relevante
D46903,Rejeitado,Nenhum conteúdo relevante
D46912,Rejeitado,Nenhum conteúdo relevante
D47890,Rejeitado,Nenhum conteúdo relevante
D48807,Rejeitado,Nenhum conteúdo relevante
D5045,Rejeitado,Nenhum conteúdo relevante
D5098,Rejeitado,"O documento trata de plano nacional para emergências químicas, sem menção específica a infraestrutura UAM ou normas de uso do solo aplicáveis ao planejamento territorial urbano."
D51647,Rejeitado,Nenhum conteúdo relevante
D52149,Rejeitado,Nenhum conteúdo relevante
D52282,Rejeitado,Nenhum conteúdo relevante
D52350,Rejeitado,Nenhum conteúdo relevante
D52442,Rejeitado,Nenhum conteúdo relevante
D52693,Rejeitado,Nenhum conteúdo relevante
D527,Aceito,"Estabelece restrições ambientais obrigatórias e exigências de autorização prévia para implantação de empreendimentos na APA Petrópolis, criando limitações administrativas ao uso do solo que afetam diretamente o planejamento de infraestrutura UAM."
D528,Aceito,"O decreto cria APA com restrições ambientais obrigatórias que impactam diretamente o planejamento territorial e a implantação de infraestrutura urbana de grande porte, incluindo possíveis vertiportos e estruturas UAM."
D529,Aceito,"O documento estabelece restrições de uso do solo e zoneamento ambiental obrigatório que afetam diretamente o planejamento territorial para implantação de infraestrutura UAM, exigindo compatibilização com diretrizes ambientais."
D53090,Rejeitado,Nenhum conteúdo relevante
D53374,Rejeitado,Nenhum conteúdo relevante
D5366,Rejeitado,Nenhum conteúdo relevante
D53741,Rejeitado,Nenhum conteúdo relevante
D54367,Rejeitado,Nenhum conteúdo relevante
D55043,Rejeitado,Nenhum conteúdo relevante
D55066,Rejeitado,Nenhum conteúdo relevante
D5566,Aceito,"Estabelece regras obrigatórias de compensação ambiental para grandes infraestruturas, aplicável a vertiportos UAM que se enquadrem como empreendimentos de significativo impacto ambiental."
D55891,Rejeitado,Nenhum conteúdo relevante
D5758,Aceito,"O documento estabelece diretrizes obrigatórias de ordenamento territorial, zoneamento e restrições ambientais em áreas protegidas que impactam diretamente o planejamento de infraestruturas urbanas de grande porte, incluindo possíveis implantações UAM."
D57894,Rejeitado,Nenhum conteúdo relevante
D5825,Rejeitado,Nenhum conteúdo relevante
D58399,Rejeitado,Nenhum conteúdo relevante
D58719,Rejeitado,Nenhum conteúdo relevante
D5875,Aceito,"O documento estabelece regras de redução de reserva legal que impõem limitações administrativas ao uso do solo e proteção ambiental, obrigatórias para planejamento de infraestrutura urbana de grande porte, incluindo vertiportos UAM."
D58856,Rejeitado,Nenhum conteúdo relevante
D58989,Rejeitado,Nenhum conteúdo relevante
D5950,Rejeitado,Nenhum conteúdo relevante
D59981,Rejeitado,Nenhum conteúdo relevante
D60252,Rejeitado,Nenhum conteúdo relevante
D60296,Aceito,"O documento estabelece diretrizes obrigatórias de planejamento territorial regional que incluem limitações de uso do solo e parâmetros ambientais, fundamentais para implantação de infraestrutura UAM na Amazônia."
D60438,Rejeitado,Nenhum conteúdo relevante
D6044,Rejeitado,Nenhum conteúdo relevante
D60464,Rejeitado,Nenhum conteúdo relevante
D60723,Rejeitado,Nenhum conteúdo relevante
D60940,Rejeitado,Nenhum conteúdo relevante
D61156,Rejeitado,Nenhum conteúdo relevante
D61435,Rejeitado,Nenhum conteúdo relevante
D61765,Rejeitado,Nenhum conteúdo relevante
D61914,Rejeitado,Nenhum conteúdo relevante
D62484,Rejeitado,Nenhum conteúdo relevante
D62626,Rejeitado,Nenhum conteúdo relevante
D6288,Aceito,"O ZEE estabelece limitações administrativas obrigatórias para uso do solo e parâmetros ambientais que impactam diretamente o planejamento de infraestrutura UAM, incluindo localização de vertiportos e restrições territoriais."
D64070,Rejeitado,Nenhum conteúdo relevante
D6469,Aceito,"Estabelece regras ambientais obrigatórias para licenciamento de infraestruturas, incluindo limitações ao uso do solo e proteção ambiental que afetam diretamente o planejamento territorial de vertiportos e infraestruturas UAM."
D6515,Rejeitado,Nenhum conteúdo relevante
